id,url,time,is_retweet,is_quoted,is_reply,reply_to,text,hashtag,mention,is_video,video_thumb,video_url,media_count,media,media1,media2,media3,media4,link_quoted,username_quoted,media_quoted,media_quoted1,media_quoted2,media_quoted3,media_quoted4,hashtag_quoted,mention_quoted,links_quoted,text_quoted,reply_count,rt_count,love_count
479661684416458752,https://twitter.com/Cindvia_JKT48/status/479661684416458752,11:27 PM - 19 Jun 2014,false,false,false,,"waaa udah pada bobo ya.... hmm, kok bisa nge tweet :p ahahhaa aku juga ini lagi bobo kok... tweet ini di tweet sambil mimpi x3",,,false,,,,,,,,,,,,,,,,,,,,187,227,85
479661350767955968,https://twitter.com/Cindvia_JKT48/status/479661350767955968,11:25 PM - 19 Jun 2014,false,false,false,,"selesai kegiatan hari ini~ malamm? udah boboo? ._.",,,false,,,,,,,,,,,,,,,,,,,,137,165,75
479493150235320321,https://twitter.com/Cindvia_JKT48/status/479493150235320321,12:17 PM - 19 Jun 2014,false,false,false,,"i am happy if you are happy (?) yeaaay~ semoga hari ini kalian semua bisa seneng yaaa~ o(^_^)o",,,false,,,,,,,,,,,,,,,,,,,,128,300,113
479492906890190848,https://twitter.com/Cindvia_JKT48/status/479492906890190848,12:16 PM - 19 Jun 2014,false,false,false,,"hari ini latihan... semuanya juga semangat yaaa ^.^ semoga hari ini menyenangkann >_< whopsss~",,,false,,,,,,,,,,,,,,,,,,,,73,195,89
479490782693302272,https://twitter.com/Cindvia_JKT48/status/479490782693302272,12:08 PM - 19 Jun 2014,false,false,false,,"jangan lupa mam siangg! hehhe x3 selamat mam siang yaaa >w<",,,false,,,,,,,,,,,,,,,,,,,,128,211,91
479467902731431936,https://twitter.com/Cindvia_JKT48/status/479467902731431936,10:37 AM - 19 Jun 2014,false,false,false,,"hai... apa kabar? ahhaha~ semangat pagii yaaaaa~ xD",,,false,,,,,,,,,,,,,,,,,,,,187,206,107
479308152802775041,https://twitter.com/Cindvia_JKT48/status/479308152802775041,12:02 AM - 19 Jun 2014,false,false,false,,"@S_OktaJKT48 zzzz hahahha :p",,,false,,,,,,,,,,,,,,,,,,,,8,40,34
479307633241751552,https://twitter.com/Cindvia_JKT48/status/479307633241751552,12:00 AM - 19 Jun 2014,false,false,false,,"00.00 goodnight buat yang udah mau bobo >.< sleep well  😝 😝",,,false,,,,,,,,,,,,,,,,,,,,152,232,82
479307376193851392,https://twitter.com/Cindvia_JKT48/status/479307376193851392,11:59 PM - 18 Jun 2014,false,false,false,,"haaaaiiiii yuhuu selesai latihan yeyeye~",,,false,,,,,,,,,,,,,,,,,,,,108,180,87
479126271092224002,https://twitter.com/Cindvia_JKT48/status/479126271092224002,11:59 AM - 18 Jun 2014,false,false,false,,"yaudaaa sini mau aku suapin gaaaa? aaaaa ammmm >.< nyum nyum~ enak yaa? hehehe~ tapi kakak jadi mam angin lho :p hahaha",,,false,,,,,,,,,,,,,,,,,,,,184,279,113
479125409317933056,https://twitter.com/Cindvia_JKT48/status/479125409317933056,11:56 AM - 18 Jun 2014,false,false,false,,"yeaaayy!! yupi nya sekarang udah kenyangg~~ semuanya juga jangan lupa mam siang yaaa >_< semangat hari inii ♪",,,false,,,,,,,,,,,,,,,,,,,,113,270,98
479089522177634305,https://twitter.com/Cindvia_JKT48/status/479089522177634305,9:33 AM - 18 Jun 2014,false,false,false,,"semangat pagi~ x)",,,false,,,,,,,,,,,,,,,,,,,,184,271,114
478953442635812864,https://twitter.com/Cindvia_JKT48/status/478953442635812864,12:32 AM - 18 Jun 2014,false,false,false,,"hai? tweet ini di tweet sambil bobo, hmmmmmmmm >_< ohya sekarang aku lagi jadi anak tikus..... eh maksudnya gajah xD apa dino aja ya? (?)",,,false,,,,,,,,,,,,,,,,,,,,201,214,95
478945260114964480,https://twitter.com/Cindvia_JKT48/status/478945260114964480,12:00 AM - 18 Jun 2014,false,false,false,,"00.00 goodnight.... aku jadi cinderella lagi hari ini(?) :3",,,false,,,,,,,,,,,,,,,,,,,,128,226,89
478945179211022336,https://twitter.com/Cindvia_JKT48/status/478945179211022336,12:00 AM - 18 Jun 2014,false,false,false,,"aku ga bandell kokk :p hehehhe niihh aku mau bobo, kalian jg bobo makanyaaa~ uuuu >.<",,,false,,,,,,,,,,,,,,,,,,,,93,185,82
478942066865483776,https://twitter.com/Cindvia_JKT48/status/478942066865483776,11:47 PM - 17 Jun 2014,false,false,false,,"waa nonton bola mulu pasti bobonya ga teratur deh~ kan harus jaga kesehatan (?) huuuu bandell :p",,,false,,,,,,,,,,,,,,,,,,,,226,246,94
478941495144116226,https://twitter.com/Cindvia_JKT48/status/478941495144116226,11:45 PM - 17 Jun 2014,false,false,false,,"aku abis latihaaaan niii~ yuhuuuu ahahhaa >.< kalian lagi apaaaaa?",,,false,,,,,,,,,,,,,,,,,,,,152,159,79
478941254621745152,https://twitter.com/Cindvia_JKT48/status/478941254621745152,11:44 PM - 17 Jun 2014,false,false,false,,"btw, how was your day??? :3:3 semoga hari ini hari yang menyenangkann~~~ ^.^",,,false,,,,,,,,,,,,,,,,,,,,71,168,72
478941199416307712,https://twitter.com/Cindvia_JKT48/status/478941199416307712,11:44 PM - 17 Jun 2014,false,false,false,,"hai? apa kabar? kabar aku baik~ hehehehe~",,,false,,,,,,,,,,,,,,,,,,,,99,147,75
478812944960991232,https://twitter.com/Cindvia_JKT48/status/478812944960991232,3:14 PM - 17 Jun 2014,false,false,false,,"hai... kakak mau lihat aku sedih? ._. hmmm~ x(",,,false,,,1,"https://pbs.twimg.com/media/BqUV1h2CMAAdDyK.jpg","https://pbs.twimg.com/media/BqUV1h2CMAAdDyK.jpg",,,,,,,,,,,,,,,429,776,569
478665842901528576,https://twitter.com/Cindvia_JKT48/status/478665842901528576,5:30 AM - 17 Jun 2014,false,false,false,,"semangat pagiii \^.^/ udah bangun belumm?? hehehe",,,false,,,,,,,,,,,,,,,,,,,,244,318,126
478599102184165377,https://twitter.com/Cindvia_JKT48/status/478599102184165377,1:04 AM - 17 Jun 2014,false,false,false,,"hayooo semuanya bobo yaaa :3 jangan bandell bandell >_< selamat bobo!! have a nice dream (~.~)zZ",,,false,,,,,,,,,,,,,,,,,,,,114,228,86
